WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
Annen,Aa en Hunze,Buurt,16800000,9468,1490,2.3,1367.0,241.0,90.0,73.0,21.0,6.0,11.0,2930.0,1590.0,2.0984251968503935,0.8115942028985508,0.174496644295302,1.3,0.8,407.0
Verspreide huizen Annen,Aa en Hunze,Buurt,16800009,9468,65,2.3,12.0,426.0,100.0,97.0,0.0,3.0,32.0,4460.0,2340.0,2.076923076923077,0.6666666666666666,0.46153846153846156,1.6,2.0,59.0
Eext,Aa en Hunze,Buurt,16800100,9463,535,2.3,730.0,241.0,98.0,83.0,14.0,3.0,6.0,3070.0,1760.0,2.1145833333333335,0.8032128514056225,0.19626168224299065,1.4,0.9,144.0
Verspreide huizen Eext,Aa en Hunze,Buurt,16800109,9463,90,1.9,11.0,353.0,96.0,90.0,0.0,10.0,4.0,3400.0,2170.0,2.2,1.1428571428571428,0.2777777777777778,1.3,2.1,36.0
Anloo,Aa en Hunze,Buurt,16800200,9467,145,2.2,578.0,292.0,97.0,81.0,14.0,5.0,6.0,3140.0,1960.0,2.1923076923076925,0.8955223880597015,0.2413793103448276,1.4,0.4,126.0
Verspreide huizen Anloo,Aa en Hunze,Buurt,16800209,9467,70,1.8,17.0,,100.0,83.0,8.0,8.0,67.0,3710.0,1910.0,1.8888888888888888,0.7692307692307693,0.14285714285714285,1.1,0.9,170.0
Gasteren,Aa en Hunze,Buurt,16800300,9466,170,2.3,727.0,317.0,96.0,93.0,4.0,2.0,5.0,3330.0,2040.0,,1.0126582278481013,0.2647058823529412,1.5,2.7,53.0
Verspreide huizen Gasteren,Aa en Hunze,Buurt,16800309,9466,5,2.6,2.0,,,,,,,,,,0.0,0.0,,2.0,21.0
Anderen,Aa en Hunze,Buurt,16800400,9465,90,2.3,524.0,323.0,100.0,87.0,7.0,6.0,9.0,3330.0,2120.0,,0.8888888888888888,0.3333333333333333,1.8,4.2,33.0
Verspreide huizen Anderen,Aa en Hunze,Buurt,16800409,9465,10,2.9,3.0,,,,,,,4060.0,2290.0,,0.0,0.5,,3.6,16.0
Schipborg,Aa en Hunze,Buurt,16800500,9469,255,2.1,554.0,367.0,100.0,93.0,4.0,3.0,5.0,3170.0,2040.0,2.4390243902439024,0.9345794392523364,0.21568627450980393,1.5,1.0,208.0
Verspreide huizen Schipborg,Aa en Hunze,Buurt,16800509,9469,25,2.2,11.0,,100.0,74.0,0.0,26.0,32.0,2470.0,1760.0,2.25,0.0,0.4,,1.4,184.0
Eexterveen,Aa en Hunze,Buurt,16800600,9658,175,2.5,353.0,245.0,96.0,86.0,3.0,9.0,17.0,3180.0,2000.0,,0.8888888888888888,0.2571428571428571,1.6,0.5,40.0
Verspreide huizen Eexterveen,Aa en Hunze,Buurt,16800609,9658,5,2.0,2.0,,,,,,,2670.0,2090.0,,0.0,0.0,,1.1,27.0
Spijkerboor,Aa en Hunze,Buurt,16800700,9656,60,2.4,691.0,228.0,100.0,92.0,6.0,2.0,0.0,3650.0,1730.0,1.9230769230769231,0.6451612903225806,0.16666666666666666,1.5,3.7,34.0
Verspreide huizen Spijkerboor,Aa en Hunze,Buurt,16800709,.,1,,,,,,,,,,,,,0.0,,,
Nieuw-Annerveen,Aa en Hunze,Buurt,16800800,9657,40,2.3,218.0,,100.0,98.0,0.0,3.0,3.0,3280.0,2180.0,,1.0,0.375,,2.8,20.0
Verspreide huizen Nieuw-Annerveen,Aa en Hunze,Buurt,16800809,9657,1,2.3,,,,,,,,,,,0.0,5.0,,,15.0
Oud-Annerveen,Aa en Hunze,Buurt,16800900,9655,50,2.3,457.0,,100.0,96.0,0.0,4.0,2.0,3520.0,2240.0,,0.8,0.2,1.6,2.2,28.0
Verspreide huizen Oud-Annerveen,Aa en Hunze,Buurt,16800909,9655,1,2.5,,,,,,,,,,,0.0,0.0,,,24.0
